date,type,description,amount,balance,reported_apy
2025-08-31,dividend,Monthly dividend,0.04,5.21,9.50
2025-09-30,dividend,Monthly dividend,0.04,5.25,9.75
2025-10-31,dividend,Monthly dividend,0.04,5.29,9.35
2025-11-30,dividend,Monthly dividend,0.04,5.33,9.60
2025-12-31,dividend,Monthly dividend,0.04,5.37,9.20
2026-01-31,dividend,Monthly dividend,0.04,5.41,9.13
2026-02-28,dividend,Monthly dividend,0.04,5.45,10.08
2026-03-31,dividend,Monthly dividend,0.04,5.49,8.99
2026-04-30,dividend,Monthly dividend,0.04,5.53,9.23
2026-05-31,dividend,Monthly dividend,0.04,5.57,8.86
2026-06-30,dividend,Monthly dividend,0.04,5.61,9.10
2026-07-31,dividend,Monthly dividend,0.05,5.66,11.01
2026-08-31,dividend,Monthly dividend,0.05,5.71,10.91
2026-09-01,deposit,Orbipay deposit,15.00,20.71,
